[ 2025-07-04 00:15:52,431 ] 14 root - INFO - Data Ingestion started with config: <networksecurity.entity.config_entity.DataIngestionConfig object at 0x000001A26347FDF0>
[ 2025-07-04 00:15:54,990 ] 69 root - INFO - Performed train test split on the dataframe
[ 2025-07-04 00:15:54,994 ] 71 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-04 00:15:54,994 ] 79 root - INFO - Exporting train and test file path.
[ 2025-07-04 00:15:55,034 ] 88 root - INFO - Exported train and test file path.
[ 2025-07-04 00:15:55,035 ] 16 root - INFO - MAIN-- Data Ingestion Completed successfully.
[ 2025-07-04 00:15:55,054 ] 23 root - INFO - Data Validation started with config: <networksecurity.entity.config_entity.DataValidationConfig object at 0x000001A22723BB20>
[ 2025-07-04 00:15:55,054 ] 86 root - INFO - Initiating data validation
[ 2025-07-04 00:15:55,164 ] 40 root - INFO - Expected number of columns: 31
[ 2025-07-04 00:15:55,164 ] 41 root - INFO - Actual number of columns: 31
[ 2025-07-04 00:15:55,164 ] 43 root - INFO - Number of columns validation passed
[ 2025-07-04 00:15:55,164 ] 40 root - INFO - Expected number of columns: 31
[ 2025-07-04 00:15:55,164 ] 41 root - INFO - Actual number of columns: 31
[ 2025-07-04 00:15:55,164 ] 43 root - INFO - Number of columns validation passed
[ 2025-07-04 00:15:55,276 ] 125 root - INFO - Data validation completed successfully
[ 2025-07-04 00:15:55,276 ] 25 root - INFO - MAIN-- Data Validation Completed successfully.
[ 2025-07-04 00:15:55,277 ] 30 root - INFO - Data Transformation started with config: {data_transformation_config}
[ 2025-07-04 00:15:55,277 ] 66 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-04 00:15:55,277 ] 68 root - INFO - Starting data transformation
[ 2025-07-04 00:15:55,293 ] 51 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-04 00:15:55,293 ] 56 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-04 00:15:55,302 ] 47 root - INFO - Entered the save_object method of Main Utils class
[ 2025-07-04 00:15:55,305 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-04 00:15:55,305 ] 47 root - INFO - Entered the save_object method of Main Utils class
[ 2025-07-04 00:15:55,306 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-04 00:15:55,307 ] 33 root - INFO - MAIN-- Data Transformation Completed successfully.
